Recency,Frequency,Monetary,CLV_90,AvgBasketSize,IsUK,Cluster,Segment
326,1,77183.6,0.0,77183.6,1,3,At Risk
2,7,4310.0,1519.14,23.68131868131868,0,0,New/Low
75,4,1797.24,310.0,57.97548387096774,0,0,New/Low
19,1,1757.55,1757.55,24.076027397260276,0,0,New/Low
310,1,334.40000000000003,0.0,19.67058823529412,0,1,Loyal Customers
36,8,2506.04,944.23,29.482823529411764,0,0,New/Low
204,1,89.0,0.0,22.25,0,1,Loyal Customers
232,1,1079.4,0.0,18.610344827586207,0,1,Loyal Customers
214,1,459.4,0.0,35.338461538461544,0,1,Loyal Customers
23,3,2811.43,58.35,47.65135593220339,0,0,New/Low
33,1,6207.67,6207.67,47.38679389312977,0,0,New/Low
2,2,1168.06,683.2,61.47684210526315,0,0,New/Low
58,4,6310.03,2814.3,25.75522448979592,0,0,New/Low
52,3,2662.06,1043.78,20.63612403100775,0,0,New/Low
287,1,189.9,0.0,18.99,0,1,Loyal Customers
3,10,5226.2300000000005,3478.88,19.64748120300752,0,0,New/Low
110,2,552.0,0.0,24.0,0,0,New/Low
8,4,1313.1,689.18,15.448235294117646,0,0,New/Low
291,2,641.38,0.0,29.15363636363636,0,1,Loyal Customers
4,1,168.9,168.9,15.354545454545455,0,0,New/Low
51,4,3541.94,739.28,21.33698795180723,0,0,New/Low
45,2,1887.96,1887.96,29.96761904761905,0,0,New/Low
72,3,1298.04,383.12,24.962307692307693,0,0,New/Low
311,1,364.6,0.0,26.042857142857144,0,1,Loyal Customers
25,1,742.9300000000001,742.9300000000001,22.513030303030305,0,0,New/Low
11,2,457.5,227.2,26.91176470588235,0,0,New/Low
315,2,1628.12,0.0,21.144415584415587,0,1,Loyal Customers
130,1,4008.62,0.0,18.30420091324201,0,0,New/Low
82,2,852.24,392.4,21.306,0,0,New/Low
22,4,2724.81,2117.26,26.200096153846157,0,0,New/Low
5,5,1845.31,576.57,21.21045977011494,0,0,New/Low
185,5,1850.56,0.0,18.69252525252525,0,1,Loyal Customers
29,2,585.27,292.58,21.676666666666662,0,0,New/Low
338,2,401.9,0.0,40.19,0,1,Loyal Customers
16,6,2780.6600000000003,1112.3200000000002,27.806600000000003,0,0,New/Low
80,1,549.84,549.84,17.1825,0,0,New/Low
22,1,439.66,439.66,4.72752688172043,0,0,New/Low
72,4,1582.6,521.5,24.728125,0,0,New/Low
64,2,1272.48,891.4000000000001,47.12888888888889,0,0,New/Low
19,12,3018.63,1119.06,19.350192307692307,0,0,New/Low
36,2,2409.9,1195.09,19.12619047619048,0,0,New/Low
46,1,1635.66,1635.66,19.24305882352941,0,0,New/Low
119,4,1108.65,0.0,18.790677966101697,0,0,New/Low
303,1,84.3,0.0,16.86,0,1,Loyal Customers
323,1,225.6,0.0,20.50909090909091,0,1,Loyal Customers
50,1,427.7,427.7,85.53999999999999,0,0,New/Low
149,1,1710.39,0.0,31.67388888888889,0,1,Loyal Customers
22,2,3415.3,1794.05,32.52666666666667,0,0,New/Low
50,5,1708.12,300.76,22.18337662337662,0,0,New/Low
33,5,2888.55,754.5,27.51,0,0,New/Low
79,3,11072.67,4865.59,101.58412844036695,0,0,New/Low
309,2,693.33,0.0,26.66653846153846,0,1,Loyal Customers
75,3,1226.88,336.14,20.112786885245903,0,0,New/Low
67,3,758.1,194.2,19.95,0,0,New/Low
217,3,562.4100000000001,0.0,31.245000000000005,0,1,Loyal Customers
24,21,124914.53,22826.65,174.95032212885152,0,2,Big Spenders
3,9,3649.1,832.58,19.005729166666665,0,0,New/Low
113,1,668.58,0.0,19.664117647058823,0,0,New/Low
64,1,600.39,600.39,20.70310344827586,0,0,New/Low
16,4,807.04,178.48000000000002,17.93422222222222,0,0,New/Low
96,3,803.5600000000001,0.0,20.604102564102565,0,0,New/Low
1,8,1859.31,208.64,14.87448,0,0,New/Low
163,2,1760.96,0.0,58.69866666666667,0,1,Loyal Customers
78,1,777.2,777.2,21.58888888888889,0,0,New/Low
195,1,582.73,0.0,19.424333333333333,0,1,Loyal Customers
22,3,825.8000000000001,522.3,26.63870967741936,0,0,New/Low
26,9,7956.46,408.34,27.062789115646257,0,0,New/Low
9,4,3750.4,905.52,38.66391752577319,0,0,New/Low
43,1,256.4,256.4,23.30909090909091,0,0,New/Low
36,15,6419.95,1612.88,27.43568376068376,0,3,At Risk
43,5,5059.32,1042.66,46.84555555555556,0,0,New/Low
1,7,13375.87,6980.64,31.847309523809525,0,0,New/Low
85,2,806.14,519.89,16.122799999999998,0,0,New/Low
80,2,7829.89,3850.900000000001,217.49694444444447,0,0,New/Low
100,1,509.01,0.0,31.813125,0,0,New/Low
2,18,4951.41,2140.0,24.88145728643216,0,3,At Risk
14,2,2906.85,2016.78,29.66173469387755,0,0,New/Low
367,1,173.55,0.0,15.77727272727273,0,1,Loyal Customers
3,1,172.06,172.06,14.338333333333331,0,0,New/Low
21,5,5005.46,2378.19,28.44011363636364,0,0,New/Low
22,1,133.4,133.4,33.35,0,0,New/Low
58,1,1002.31,1002.31,17.584385964912283,0,0,New/Low
243,1,476.49,0.0,18.326538461538465,0,1,Loyal Customers
44,1,449.45,449.45,20.42954545454545,0,0,New/Low
22,4,4067.29,1342.71,21.294712041884814,0,0,New/Low
156,2,197.88,0.0,24.735,0,1,Loyal Customers
11,5,9035.52,3727.7,25.52406779661017,0,0,New/Low
17,2,430.5700000000001,430.5700000000001,19.57136363636364,0,0,New/Low
134,1,707.09,0.0,16.443953488372095,0,0,New/Low
56,1,3528.34,3528.34,235.22266666666667,0,0,New/Low
73,6,2466.86,290.5,27.40955555555556,0,0,New/Low
44,3,3181.04,915.64,25.44832,0,0,New/Low
66,7,2363.23,1295.98,38.11661290322581,0,0,New/Low
71,2,947.4,505.48,24.931578947368426,0,0,New/Low
94,2,826.88,0.0,23.62514285714286,0,0,New/Low
19,2,1189.59,427.48,19.186935483870965,0,0,New/Low
53,4,1344.78,358.99,16.202168674698793,0,0,New/Low
10,8,1212.05,431.5,41.79482758620689,0,0,New/Low
17,2,742.19,301.25,15.791276595744682,0,0,New/Low
188,2,729.54,0.0,19.198421052631577,0,1,Loyal Customers
2,30,19788.65,8707.65,43.11252723311547,0,3,At Risk
32,7,6572.11,1644.51,19.386755162241887,0,0,New/Low
29,5,3928.05,2752.3,23.521257485029945,0,0,New/Low
17,18,7324.09,2962.03,17.355663507109004,0,3,At Risk
54,1,723.38,723.38,20.093888888888888,0,0,New/Low
16,11,6816.42,3624.75,29.255021459227468,0,0,New/Low
23,6,13219.74,4385.71,44.0658,0,0,New/Low
4,1,680.99,680.99,18.91638888888889,0,0,New/Low
11,1,527.2,527.2,17.006451612903227,0,0,New/Low
28,4,3281.63,1136.6799999999998,21.309285714285718,0,0,New/Low
23,10,5579.82,1494.56,25.8325,0,0,New/Low
17,8,2484.98,860.9200000000001,33.133066666666664,0,0,New/Low
33,6,4527.32,868.6700000000001,13.199183673469388,0,0,New/Low
10,3,1298.66,1298.66,23.612,0,0,New/Low
336,1,334.93,0.0,22.328666666666667,0,1,Loyal Customers
5,10,5417.93,1865.34,22.114,0,0,New/Low
39,1,460.4,460.4,17.70769230769231,0,0,New/Low
63,2,263.21000000000004,136.82,13.160500000000004,0,0,New/Low
166,2,433.74,0.0,19.715454545454545,0,1,Loyal Customers
16,7,1246.1,377.24,16.18311688311688,0,0,New/Low
82,1,1043.1,1043.1,74.50714285714285,0,0,New/Low
21,3,403.7000000000001,403.7000000000001,17.55217391304348,0,0,New/Low
23,11,4257.82,2483.98,69.80032786885245,0,0,New/Low
337,1,2169.39,0.0,14.5596644295302,0,1,Loyal Customers
96,5,3723.87,0.0,25.332448979591835,0,0,New/Low
18,2,482.05,482.05,53.5611111111111,0,0,New/Low
233,1,73.5,0.0,3.1956521739130435,0,1,Loyal Customers
134,3,1304.81,0.0,62.13380952380952,0,0,New/Low
26,2,397.88,397.88,5.851176470588236,0,0,New/Low
284,1,176.5,0.0,25.214285714285715,0,1,Loyal Customers
143,2,982.57,0.0,29.774848484848484,0,0,New/Low
66,2,132.18,132.18,4.263870967741935,0,0,New/Low
113,1,612.29,0.0,17.494,0,0,New/Low
267,1,1017.68,0.0,19.95450980392157,0,1,Loyal Customers
353,1,383.7,0.0,23.98125,0,1,Loyal Customers
78,2,1312.06,728.86,50.46384615384615,0,0,New/Low
28,5,2481.6,960.15,8.894623655913978,0,0,New/Low
1,5,2056.89,1732.06,16.58782258064516,0,0,New/Low
64,1,330.84000000000003,330.84000000000003,19.46117647058824,0,0,New/Low
79,5,2634.26,588.41,17.330657894736845,0,0,New/Low
143,1,599.68,0.0,15.781052631578946,0,1,Loyal Customers
39,2,192.72,192.72,16.06,0,0,New/Low
19,11,1789.77,772.02,16.884622641509434,0,0,New/Low
9,8,4485.72,1363.24,31.15083333333333,0,0,New/Low
1,3,1316.66,796.36,18.54450704225352,0,0,New/Low
82,3,348.71000000000004,63.79,19.37277777777778,0,0,New/Low
9,6,1933.48,646.11,21.01608695652174,0,0,New/Low
60,4,1662.28,440.63,25.186060606060607,0,0,New/Low
15,1,125.22,125.22,7.365882352941177,0,0,New/Low
30,1,349.83000000000004,349.83000000000004,21.864375000000003,0,0,New/Low
131,1,1089.18,0.0,17.28857142857143,0,0,New/Low
92,2,716.35,0.0,21.069117647058825,0,0,New/Low
43,3,12601.830000000002,12601.830000000002,48.2828735632184,0,0,New/Low
29,1,363.95,363.95,17.33095238095238,0,0,New/Low
22,4,5568.35,1050.66,20.396886446886448,0,0,New/Low
20,17,13400.24,4153.38,28.03397489539749,0,3,At Risk
30,3,981.18,445.04,18.868846153846157,0,0,New/Low
36,1,372.7,372.7,19.61578947368421,0,0,New/Low
75,2,1000.39,372.24,20.0078,0,0,New/Low
47,2,1161.5,1161.5,16.833333333333332,0,0,New/Low
198,2,207.8,0.0,25.975,0,1,Loyal Customers
166,1,95.2,0.0,19.04,0,1,Loyal Customers
79,1,964.83,964.83,16.92684210526316,0,0,New/Low
358,1,168.0,0.0,16.8,0,1,Loyal Customers
39,2,437.82,437.82,21.891,0,0,New/Low
8,10,3692.28,1272.69,19.33130890052356,0,0,New/Low
50,2,599.56,290.81,5.038319327731092,0,0,New/Low
16,5,11990.96,2990.0,363.36242424242425,0,0,New/Low
8,1,269.96,269.96,24.54181818181818,0,0,New/Low
311,2,561.71,0.0,26.74809523809524,0,1,Loyal Customers
5,3,2134.01,697.7,20.323904761904764,0,0,New/Low
303,1,238.85,0.0,14.928125,0,1,Loyal Customers
8,7,3781.74,2176.51,22.510357142857146,0,0,New/Low
261,1,456.9,0.0,21.75714285714286,0,1,Loyal Customers
289,1,145.92000000000002,0.0,16.213333333333335,0,1,Loyal Customers
86,1,351.65,351.65,18.507894736842104,0,0,New/Low
23,10,9401.28,1551.3,21.07910313901345,0,0,New/Low
2,32,4124.6900000000005,1957.01,21.93984042553192,0,3,At Risk
40,2,519.61,271.26,15.28264705882353,0,0,New/Low
9,2,1020.42,1020.42,17.007,0,0,New/Low
227,1,160.54000000000002,0.0,5.733571428571429,0,1,Loyal Customers
316,1,218.45,0.0,19.85909090909091,0,1,Loyal Customers
36,5,1315.83,379.28,14.952613636363637,0,0,New/Low
35,3,626.6,430.71,4.291780821917809,0,0,New/Low
21,2,2794.51,1185.85,24.51324561403509,0,0,New/Low
78,1,440.42,440.42,15.18689655172414,0,0,New/Low
247,1,415.7,0.0,17.320833333333333,0,1,Loyal Customers
40,1,197.71,197.71,13.180666666666667,0,0,New/Low
239,2,511.36,0.0,23.24363636363637,0,1,Loyal Customers
3,15,7281.38,3049.17,29.47927125506073,0,3,At Risk
4,9,2338.15,1555.56,24.355729166666663,0,0,New/Low
234,2,2040.1,0.0,23.44942528735632,0,1,Loyal Customers
17,1,196.94000000000003,196.94000000000003,17.903636363636366,0,0,New/Low
8,1,144.0,144.0,36.0,0,0,New/Low
39,1,214.9,214.9,21.49,0,0,New/Low
29,2,646.68,515.18,18.47657142857143,0,0,New/Low
211,2,9864.26,0.0,145.06264705882353,0,1,Loyal Customers
317,1,452.85,0.0,17.41730769230769,0,1,Loyal Customers
92,2,437.6,0.0,24.311111111111117,0,0,New/Low
109,3,418.1,0.0,19.90952380952381,0,0,New/Low
38,10,3338.2200000000003,808.32,28.290000000000003,0,0,New/Low
51,2,618.27,348.32,22.898888888888887,0,0,New/Low
19,4,3811.22,2382.41,18.50106796116505,0,0,New/Low
10,8,3023.08,1438.7,22.90212121212121,0,0,New/Low
29,7,1032.58,175.54000000000002,16.654516129032256,0,0,New/Low
29,10,2599.04,662.48,40.61,0,0,New/Low
190,5,577.0600000000001,0.0,20.609285714285715,0,1,Loyal Customers
59,1,153.12,153.12,12.76,0,0,New/Low
